作品ID,作品名,作者,资料大类,标签,版本,译者,出版社,本地相对路径,文件名,文件格式,文件大小,SHA256,是否主来源,来源容器,SourcePrepare状态,SourcePrepare版本,标准MD字符数,识别章节数,BookDistill状态,最后检查时间,备注
book_0001,一世之尊,,网络小说,,,,,"01_原始素材/01_网络小说/一世之尊/一世之尊 (爱潜水的乌贼) (z-library.sk, 1lib.sk, z-lib.sk).epub","一世之尊 (爱潜水的乌贼) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,9597227,7184bde9232bf347c5bbf4eaeabea1f21f7de771840ada903dd1c2cc963c677f,是,,未处理,,,,未开始,2026-08-08,
book_0001,一世之尊,,网络小说,,,,,01_原始素材/01_网络小说/一世之尊/一世之尊(爱潜水的乌贼).txt,一世之尊(爱潜水的乌贼).txt,txt,14219677,6b3d1142063f73c7e0d8c1b93026bed280c1fb5e89fdc1130c4da183c16f226e,否,,未处理,,,,未开始,2026-08-08,
book_0002,上品寒士,,网络小说,,,,,"01_原始素材/01_网络小说/上品寒士/上品寒士 (贼道三痴) (z-library.sk, 1lib.sk, z-lib.sk).epub","上品寒士 (贼道三痴) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,4858839,7b6e3dcb4104204835d8defa037baa0a4a958d90657c8c07a6f8171bd4de537c,是,,未处理,,,,未开始,2026-08-08,
book_0002,上品寒士,,网络小说,,,,,01_原始素材/01_网络小说/上品寒士/上品寒士(贼道三痴).txt,上品寒士(贼道三痴).txt,txt,4722154,09b1bc9114faea0655dd04bfcff4ba13d83818cadce6fc529e737346aa14f219,否,,未处理,,,,未开始,2026-08-08,
book_0064,二号首长,,网络小说,,,,,"01_原始素材/01_网络小说/二号首长/【二号首长 (黄晓阳) (z-library.sk, 1lib.sk, z-lib.sk).epub","【二号首长 (黄晓阳) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,2750019,a146624c0051f606b1d3bb2c548a455c5119b326dde35b2dd2d5430b6c0dd2b3,是,,未处理,,,,未开始,2026-08-08,
book_0003,亮剑,,网络小说,,,,,"01_原始素材/01_网络小说/亮剑/亮剑 (都梁 [都梁]) (z-library.sk, 1lib.sk, z-lib.sk).epub","亮剑 (都梁 [都梁]) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,612918,45186bd25722f9a9801bee91b0719f6323147820473198ddc317c6787dc764e8,是,,未处理,,,,未开始,2026-08-08,
book_0003,亮剑,,网络小说,,,,,01_原始素材/01_网络小说/亮剑/亮剑(都梁).txt,亮剑(都梁).txt,txt,1091310,a7397b104d6452c4f3246528b6bbe5b8d9375b87fedba62d14d76be8be0953be,否,,未处理,,,,未开始,2026-08-08,
book_0067,侯卫东官场笔记,,网络小说,,,,,"01_原始素材/01_网络小说/侯卫东官场笔记/侯卫东官场笔记 (小乔老树) (z-library.sk, 1lib.sk, z-lib.sk).epub","侯卫东官场笔记 (小乔老树) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,5459511,85162c714d9e10ba64b2c0479a69e1c71fc9b8b753ee2cd4cd35b1c606d666bd,是,,未处理,,,,未开始,2026-08-08,
book_0069,全职高手,,网络小说,,,,,"01_原始素材/01_网络小说/全职高手/全职高手 (蝴蝶蓝) (z-library.sk, 1lib.sk, z-lib.sk).epub","全职高手 (蝴蝶蓝) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,11059262,b4ba771577ba6039fac9ead1a79b2e3117303243547ffc269b0a126c6a19e4ce,是,,未处理,,,,未开始,2026-08-08,
book_0004,创业在晚唐,,网络小说,,,,,01_原始素材/01_网络小说/创业在晚唐/创业在晚唐(痴人陈).epub,创业在晚唐(痴人陈).epub,epub,7861446,630b2940ef825e05c0e72c16fc0a44032b13157668ded742fe7e6faace75f33f,是,,未处理,,,,未开始,2026-08-08,
book_0004,创业在晚唐,,网络小说,,,,,01_原始素材/01_网络小说/创业在晚唐/创业在晚唐(痴人陈).txt,创业在晚唐(痴人陈).txt,txt,13112079,3927b2f7c18d67439a8bc4050de7147a5ccf7afd8df55633065ab76422caee5e,否,,未处理,,,,未开始,2026-08-08,
book_0070,剑来,,网络小说,,,,,"01_原始素材/01_网络小说/剑来/剑来 (烽火戏诸侯) (z-library.sk, 1lib.sk, z-lib.sk).epub","剑来 (烽火戏诸侯) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,19511511,8368c9b1a06a5ce8ba156fda5892cb20020b008680dbc8a99de2d833cc789940,是,,未处理,,,,未开始,2026-08-08,
book_0005,十日终焉,,网络小说,,,,,"01_原始素材/01_网络小说/十日终焉/【精排】十日终焉 (杀虫队队员) (z-library.sk, 1lib.sk, z-lib.sk).epub","【精排】十日终焉 (杀虫队队员) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,12788188,01ca1f1389b7c2196a099af67f0070507b5d4cd8cd5552a8b3c13354bbec10e1,是,,未处理,,,,未开始,2026-08-08,
book_0005,十日终焉,,网络小说,,,,,01_原始素材/01_网络小说/十日终焉/十日终焉(杀虫队队员).txt,十日终焉(杀虫队队员).txt,txt,10268782,45821c4c380f203282c9e7482af7e123a1bce57db10c19d75f6b291cfe01d67a,否,,未处理,,,,未开始,2026-08-08,
book_0006,唐砖,,网络小说,,,,,"01_原始素材/01_网络小说/唐砖/唐砖 (孑与2) (z-library.sk, 1lib.sk, z-lib.sk) (1).epub","唐砖 (孑与2) (z-library.sk, 1lib.sk, z-lib.sk) (1).epub",epub,10323078,23ecdc6c62a653f22afd278ab90af3d155684256d16dff8c522c69a43b484018,是,,未处理,,,,未开始,2026-08-08,
book_0006,唐砖,,网络小说,,,,,01_原始素材/01_网络小说/唐砖/唐砖(孑与2).txt,唐砖(孑与2).txt,txt,12430420,c9ffefdafa55198c906c2e85b9da27aa143c24bbed7fad47dfa8fb0aab37413b,否,,未处理,,,,未开始,2026-08-08,
book_0007,回到明朝当王爷,,网络小说,,,,,"01_原始素材/01_网络小说/回到明朝当王爷/回到明朝当王爷 (月关) (z-library.sk, 1lib.sk, z-lib.sk).epub","回到明朝当王爷 (月关) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,14138663,7171d7530d4b0eb5b4f60e5972bb9560e5e35cae2ede17752b4102342e751c24,是,,未处理,,,,未开始,2026-08-08,
book_0007,回到明朝当王爷,,网络小说,,,,,01_原始素材/01_网络小说/回到明朝当王爷/回到明朝当王爷(月关).txt,回到明朝当王爷(月关).txt,txt,10273587,0e51bc8c5e96b06935085669122745bf1a024f3323c2d8e79a9f9952a022176b,否,,未处理,,,,未开始,2026-08-08,
book_0008,大奉打更人,,网络小说,,,,,01_原始素材/01_网络小说/大奉打更人/大奉打更人(卖报小郎君).txt,大奉打更人(卖报小郎君).txt,txt,12497750,6e1149f7270648c98450febee378d6370542a19b481feb3c879686b9f9d647c9,否,,未处理,,,,未开始,2026-08-08,
book_0008,大奉打更人,,网络小说,,,,,01_原始素材/01_网络小说/大奉打更人/大奉打更人.epub,大奉打更人.epub,epub,11503087,5d0e0e595b24a7a4b0204bbe7fced1af0c0f3c92527742089bb05439bd42a73e,是,,未处理,,,,未开始,2026-08-08,
book_0009,大宋的智慧,,网络小说,,,,,"01_原始素材/01_网络小说/大宋的智慧/大宋的智慧 (孑与2 [孑与2]) (z-library.sk, 1lib.sk, z-lib.sk).epub","大宋的智慧 (孑与2 [孑与2]) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,6086614,3dfa57afaed3116b96c70eebf6c31f13ab830b5f0fed0544a03272ba9ebab0ef,是,,未处理,,,,未开始,2026-08-08,
book_0009,大宋的智慧,,网络小说,,,,,01_原始素材/01_网络小说/大宋的智慧/大宋的智慧(孑与2).txt,大宋的智慧(孑与2).txt,txt,10926428,220c3b82710688fb35dd775684497401dfc803a7f75647f3ea4e27604c9cfecc,否,,未处理,,,,未开始,2026-08-08,
book_0062,大道朝天,,网络小说,,,,,"01_原始素材/01_网络小说/大道朝天/《大道朝天》（校对版全本）作者：猫腻 (猫腻) (z-library.sk, 1lib.sk, z-lib.sk).epub","《大道朝天》（校对版全本）作者：猫腻 (猫腻) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,5401757,a4f422805cba96ac9e55393c457ad8c33f6cb417402f0b0c715cfc56211569b5,是,,未处理,,,,未开始,2026-08-08,
book_0073,太平令,,网络小说,,,,,"01_原始素材/01_网络小说/太平令/太平令 (阎ZK) (z-library.sk, 1lib.sk, z-lib.sk).epub","太平令 (阎ZK) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,16855875,729c51db73a8a7821b1d689310ce7fe35f853e16a3a7969446c65c7b8b68d432,是,,未处理,,,,未开始,2026-08-08,
book_0010,奥术神座,,网络小说,,,,,"01_原始素材/01_网络小说/奥术神座/奥术神座 (爱潜水的乌贼) (z-library.sk, 1lib.sk, z-lib.sk).epub","奥术神座 (爱潜水的乌贼) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,8125996,efe76ca3306d75c6feba08ececc77484b91fad7084f9126e0c898147de44867f,是,,未处理,,,,未开始,2026-08-08,
book_0010,奥术神座,,网络小说,,,,,01_原始素材/01_网络小说/奥术神座/奥术神座(爱潜水的乌贼).txt,奥术神座(爱潜水的乌贼).txt,txt,9930931,166c7cbe7390fb055ae26ba4122fe3805e7bc79edc99b1f1ef8728a917712a24,否,,未处理,,,,未开始,2026-08-08,
book_0074,她上岸提分手，我转身成领导秘书,,网络小说,,,,,01_原始素材/01_网络小说/她上岸提分手，我转身成领导秘书/她上岸提分手，我转身成领导秘书(元明小阳).epub,她上岸提分手，我转身成领导秘书(元明小阳).epub,epub,3330091,6579f3b4fbd63d5dd39c5b0506e593d390568547b1d252b64a5afc2d4c8cac8a,是,,未处理,,,,未开始,2026-08-08,
book_0011,孺子帝,,网络小说,,,,,"01_原始素材/01_网络小说/孺子帝/孺子帝 (冰临神下) (z-library.sk, 1lib.sk, z-lib.sk).epub","孺子帝 (冰临神下) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,3209788,58c275bc56af336d91fa0453a132a142b43fc6c7b32ff764c0abd4eb274f732e,是,,未处理,,,,未开始,2026-08-08,
book_0011,孺子帝,,网络小说,,,,,01_原始素材/01_网络小说/孺子帝/孺子帝(冰临神下).txt,孺子帝(冰临神下).txt,txt,5667216,d4517a8d0dc66057e28d67ae724fd02401ee2aaba8312d8d114b6a51678fc1f7,否,,未处理,,,,未开始,2026-08-08,
book_0012,官居一品,,网络小说,,,,,"01_原始素材/01_网络小说/官居一品/官居一品 (三戒大师) (z-library.sk, 1lib.sk, z-lib.sk).epub","官居一品 (三戒大师) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,12186860,06c96706188c09a3c63b95f3f4a2f378c379fa0e2842c329e4273f509ada7d15,是,,未处理,,,,未开始,2026-08-08,
book_0012,官居一品,,网络小说,,,,,01_原始素材/01_网络小说/官居一品/官居一品(三戒大师).txt,官居一品(三戒大师).txt,txt,278077,902da5f7bc8519ff37d7daea346118719c550978a8c58d039c922c8b140150de,否,,未处理,,,,未开始,2026-08-08,
book_0076,官梯,,网络小说,,,,,01_原始素材/01_网络小说/官梯/官梯(钓人的鱼).epub,官梯(钓人的鱼).epub,epub,12577102,87f1f04a695c0304702e45258a64c0f11b65d4349a3187c76294e204f2238ccb,是,,未处理,,,,未开始,2026-08-08,
book_0076,官梯,,网络小说,,,,,01_原始素材/01_网络小说/官梯/官梯(钓人的鱼).txt,官梯(钓人的鱼).txt,txt,22138372,25ffadd7c8cbb73da6e3e517c233213b5d0c3805838d251841be70a91962dae8,否,,未处理,,,,未开始,2026-08-08,
book_0063,官道无疆,,网络小说,,,,,"01_原始素材/01_网络小说/官道无疆/《官道无疆》 (瑞根) (z-library.sk, 1lib.sk, z-lib.sk).epub","《官道无疆》 (瑞根) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,16829656,bcce6f6db319436af43fcb23c4fd72f7967572290265e294c99deec597902563,是,,未处理,,,,未开始,2026-08-08,
book_0013,宰执天下,,网络小说,,,,,"01_原始素材/01_网络小说/宰执天下/宰执天下 (cuslaa) (z-library.sk, 1lib.sk, z-lib.sk).epub","宰执天下 (cuslaa) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,14327555,a4924004eae871747c3eea7b8caa4c2af962b0b81fef55ef5a9a8c2dcb136ae4,是,,未处理,,,,未开始,2026-08-08,
book_0013,宰执天下,,网络小说,,,,,01_原始素材/01_网络小说/宰执天下/宰执天下(cuslaa).txt,宰执天下(cuslaa).txt,txt,23115074,90696063ff2de17e6ace0b6eeefc8406bf7ef23d848c607a851b8e3a36b11675,否,,未处理,,,,未开始,2026-08-08,
book_0014,将夜,,网络小说,,,,,"01_原始素材/01_网络小说/将夜/将夜 (猫腻) (z-library.sk, 1lib.sk, z-lib.sk).epub","将夜 (猫腻) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,6672296,2eac56ce54c9f2c937b4a81f39f9be982849577734e47d1a4d493648c267746d,是,,未处理,,,,未开始,2026-08-08,
book_0014,将夜,,网络小说,,,,,01_原始素材/01_网络小说/将夜/将夜(猫腻).txt,将夜(猫腻).txt,txt,11735338,6ec311ec8f184812158fc6167c99c2f69777ed37519ac9fe7668ad31dbb42624,否,,未处理,,,,未开始,2026-08-08,
book_0015,庆余年,,网络小说,,,,,"01_原始素材/01_网络小说/庆余年/庆余年 (猫腻) (z-library.sk, 1lib.sk, z-lib.sk).epub","庆余年 (猫腻) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,8533817,7201b75bf39eb31b7989f8e4b625bb401c9dd5df2392b2e8397aa8ad1053d217,是,,未处理,,,,未开始,2026-08-08,
book_0015,庆余年,,网络小说,,,,,01_原始素材/01_网络小说/庆余年/庆余年(猫腻).txt,庆余年(猫腻).txt,txt,9619871,894b630208834a86e844652adf3eeb73e9b1d34a78b35574de44d784fb30e20d,否,,未处理,,,,未开始,2026-08-08,
book_0016,异兽迷城,,网络小说,,,,,"01_原始素材/01_网络小说/异兽迷城/异兽迷城 (彭湃) (z-library.sk, 1lib.sk, z-lib.sk).epub","异兽迷城 (彭湃) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,14605207,6689569680d32a6e0142b4d2cc116263267d5d5273e6f0a6ea55030e9c7079ed,是,,未处理,,,,未开始,2026-08-08,
book_0016,异兽迷城,,网络小说,,,,,01_原始素材/01_网络小说/异兽迷城/异兽迷城(彭湃).txt,异兽迷城(彭湃).txt,txt,9378681,bb10a776e3adfec4cd4ef4136b970f41fa83d30e10d109720df4db0d041cbc18,否,,未处理,,,,未开始,2026-08-08,
book_0017,我不是戏神,,网络小说,,,,,"01_原始素材/01_网络小说/我不是戏神/我不是戏神 (三九音域) (z-library.sk, 1lib.sk, z-lib.sk).epub","我不是戏神 (三九音域) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,5383347,1987d95ba4a887d52c4f5d9c09bfea3dd021d183eab4b08d632527aa8b7d34a4,是,,未处理,,,,未开始,2026-08-08,
book_0017,我不是戏神,,网络小说,,,,,01_原始素材/01_网络小说/我不是戏神/我不是戏神(三九音域).pdf,我不是戏神(三九音域).pdf,pdf,14339219,b5c133f61091f6af873f61d2467d7becbd3e6372c191170248de1b77f19ce0cc,否,,未处理,,,,未开始,2026-08-08,
book_0018,我在精神病院学斩神,,网络小说,,,,,"01_原始素材/01_网络小说/我在精神病院学斩神/我在精神病院学斩神 (三九音域) (z-library.sk, 1lib.sk, z-lib.sk).epub","我在精神病院学斩神 (三九音域) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,7766435,fb3cf575c566d618769ef0815ff84628c1fa15d22f32e792b453a2f48967bbc5,是,,未处理,,,,未开始,2026-08-08,
book_0018,我在精神病院学斩神,,网络小说,,,,,01_原始素材/01_网络小说/我在精神病院学斩神/我在精神病院学斩神(三九音域).pdf,我在精神病院学斩神(三九音域).pdf,pdf,14886393,3f64014d23fbd9dc44e56f0dd6761da6a4e1be4a3b688ffbe407425ae1be7f32,否,,未处理,,,,未开始,2026-08-08,
book_0019,放开那个女巫,,网络小说,,,,,"01_原始素材/01_网络小说/放开那个女巫/放开那个女巫 (二目) (z-library.sk, 1lib.sk, z-lib.sk).epub","放开那个女巫 (二目) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,6769037,69415ff6fb10a66acf798746bd7f87a6a328d5e4bf9643b6319ebdde968dd0f4,是,,未处理,,,,未开始,2026-08-08,
book_0019,放开那个女巫,,网络小说,,,,,01_原始素材/01_网络小说/放开那个女巫/放开那个女巫(二目).txt,放开那个女巫(二目).txt,txt,10009677,46cf8a14b2adad993ccba5d4732cff7ac2ea2749a4c8f2096cdb250bdc154479,否,,未处理,,,,未开始,2026-08-08,
book_0079,新官路商途,,网络小说,,,,,01_原始素材/01_网络小说/新官路商途/新官路商途(更俗).epub,新官路商途(更俗).epub,epub,5445946,edcfda5bdf279c5a3bd485058451f6ec9a75864ff47e6747efe4a5ae774356c2,是,,未处理,,,,未开始,2026-08-08,
book_0079,新官路商途,,网络小说,,,,,01_原始素材/01_网络小说/新官路商途/新官路商途(更俗).txt,新官路商途(更俗).txt,txt,10028805,328f07b48af6cad5f51d6b9eb55ce50e9981d47f27febe187456467fbfee9a46,否,,未处理,,,,未开始,2026-08-08,
book_0020,明天下,,网络小说,,,,,"01_原始素材/01_网络小说/明天下/明天下 (孑与2) (z-library.sk, 1lib.sk, z-lib.sk).epub","明天下 (孑与2) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,23361849,1a0bdbac4e1ab798f21aa1a4b140e3d86f202a6c64512ce44d1753ff408a14c6,是,,未处理,,,,未开始,2026-08-08,
book_0020,明天下,,网络小说,,,,,01_原始素材/01_网络小说/明天下/明天下(孑与2).txt,明天下(孑与2).txt,txt,9265561,d98fc7e253c12b8efd0170b97fe487ba08782f627f6854c9425c39225f31cbf0,否,,未处理,,,,未开始,2026-08-08,
book_0081,明臣,,网络小说,,,,,01_原始素材/01_网络小说/明臣/明臣(烛).epub,明臣(烛).epub,epub,1328274,680c208ec774f053a18b3f5ca94be68af0da9c19eadcce2d1fe0acb83f58c45a,是,,未处理,,,,未开始,2026-08-08,
book_0081,明臣,,网络小说,,,,,01_原始素材/01_网络小说/明臣/明臣(烛).txt,明臣(烛).txt,txt,2470693,8f335914318c0c964aed840f5e939968d87c4dd82cf36222f2d4a320c9925545,否,,未处理,,,,未开始,2026-08-08,
book_0021,晚明,,网络小说,,,,,"01_原始素材/01_网络小说/晚明/晚明 (柯山梦) (z-library.sk, 1lib.sk, z-lib.sk).epub","晚明 (柯山梦) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,17123520,a8f3b43dcd496822cd384ac8e9aa85f7dc374f8430f06c6f8321c26825093082,是,,未处理,,,,未开始,2026-08-08,
book_0021,晚明,,网络小说,,,,,01_原始素材/01_网络小说/晚明/晚明(柯山梦).txt,晚明(柯山梦).txt,txt,7086883,91bc38422ae40890d502b5ab0a5a0c85ea0a6487b1f857b24fd6b8fd92b35a3d,否,,未处理,,,,未开始,2026-08-08,
book_0022,极品家丁,,网络小说,,,,,"01_原始素材/01_网络小说/极品家丁/极品家丁 (禹岩) (z-library.sk, 1lib.sk, z-lib.sk).epub","极品家丁 (禹岩) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,4728649,49c6dccb63042ef6459b427164e0aee3888a530bf9702912e940ece44a5cb3a6,是,,未处理,,,,未开始,2026-08-08,
book_0022,极品家丁,,网络小说,,,,,01_原始素材/01_网络小说/极品家丁/极品家丁(禹岩).txt,极品家丁(禹岩).txt,txt,8166489,8f0e3c2c70f74d2ec069d09a83473865ae64d4af770631ca1422383b07761836,否,,未处理,,,,未开始,2026-08-08,
book_0023,枭臣,,网络小说,,,,,"01_原始素材/01_网络小说/枭臣/枭臣 (更俗) (z-library.sk, 1lib.sk, z-lib.sk).epub","枭臣 (更俗) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,7246434,03cab4b44deb44bfc130adee99a3517fd5bb2793fcabf84f98ffdbd18c37d9bc,是,,未处理,,,,未开始,2026-08-08,
book_0023,枭臣,,网络小说,,,,,01_原始素材/01_网络小说/枭臣/枭臣(更俗).txt,枭臣(更俗).txt,txt,12894618,6934a6b422e5b685aaf7e31901abb8bed2d4e292c0f55f218c324754796a152c,否,,未处理,,,,未开始,2026-08-08,
book_0024,步步生莲,,网络小说,,,,,"01_原始素材/01_网络小说/步步生莲/步步生莲 (月关) (z-library.sk, 1lib.sk, z-lib.sk).epub","步步生莲 (月关) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,17373601,ea6597171da545b15912ee3fe4a357d7b527d5de70bf51ff652289207a918609,是,,未处理,,,,未开始,2026-08-08,
book_0024,步步生莲,,网络小说,,,,,01_原始素材/01_网络小说/步步生莲/步步生莲(月关).txt,步步生莲(月关).txt,txt,10830608,82227f476dd601e8fb550ce79512d83767d76d3b813e984462c9d0dcb340a4b7,否,,未处理,,,,未开始,2026-08-08,
book_0025,死人经,,网络小说,,,,,"01_原始素材/01_网络小说/死人经/死人经 (冰临神下) (z-library.sk, 1lib.sk, z-lib.sk).epub","死人经 (冰临神下) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,13151437,725a1cdf2babbe8cdad78386e060a729d2eff8c19e95935a881ae4f433d7bbaa,是,,未处理,,,,未开始,2026-08-08,
book_0025,死人经,,网络小说,,,,,01_原始素材/01_网络小说/死人经/死人经(洛带).txt,死人经(洛带).txt,txt,9115498,d673bbed3c2d7a705fe60bf5838025f5f5f9a3bbf8710c31d763260123ce47bc,否,,未处理,,,,未开始,2026-08-08,
book_0026,汉乡,,网络小说,,,,,"01_原始素材/01_网络小说/汉乡/汉乡 (孑与2) (z-library.sk, 1lib.sk, z-lib.sk).epub","汉乡 (孑与2) (z-library.sk, 1lib.sk, z-lib.sk).epub",epub,6495108,4a131fafadf22199862eeb8d930b37ad17d4bb68aa850faf56acce28969a5488,是,,未处理,,,,未开始,2026-08-08,
book_0026,汉乡,,网络小说,,,,,01_原始素材/01_网络小说/汉乡/汉乡(孑与2).txt,汉乡(孑与2).txt,txt,12117473,02012e66d047d7f2f60998ded72103124b138d28eb831f8d2e7e16ae854e2ad6,否,,未处理,,,,未开始,2026-08-08,
